6in4 - 24-1
6rd - 9-2
6to4 - 12-2
adblock - 4.1.5-9
alsa-lib - 1.1.6-1
alsa-utils - 1.0.28-2
autocore-arm - 2-47
automount - 1-35
autosamba - 1-12
badblocks - 1.46.5-1
base-files - 199-r673-88ca66eb5
bash - 4.4.18-2
blkid - 2.37-2
block-mount - 2021-08-14-2e3aca29-7
blockd - 2021-08-14-2e3aca29-7
boost - 1.71.0-6
boost-chrono - 1.71.0-6
boost-date_time - 1.71.0-6
boost-program_options - 1.71.0-6
boost-random - 1.71.0-6
boost-system - 1.71.0-6
busybox - 1.28.3-5
bzip2 - 1.0.8-1
ca-bundle - 20230311-1
ca-certificates - 20230311-1
cfdisk - 2.37-2
cgroupfs-mount - 1.4-1
chat - 2.4.7.git-2019-05-25-3
chinadns-ng - 2023.10.28-1
clash - 1.18.0-13
conntrack - 1.4.4-1
conntrackd - 1.4.4-1
coremark - 2021-03-12-1541482b-2
coreutils - 8.23-8
coreutils-base64 - 8.23-8
coreutils-nohup - 8.23-8
coreutils-stat - 8.23-8
coreutils-stty - 8.23-8
curl - 8.0.1-1
ddns-scripts - 2.7.8-5
ddns-scripts_aliyun - 1.0.3-1
ddns-scripts_dnspod - 1.0.2-1
ddnsto - 3.0.4-aarch64-7
default-settings - 5-2
dns2socks - 2.1-2
dns2tcp - 1.1.0-1
dnsmasq-full - 2.86-2
dropbear - 2017.75-5
e2fsprogs - 1.46.5-1
etherwake - 1.09-4
ethtool - 4.19-1
f2fs-tools - 1.12.0-3
f2fsck - 1.12.0-3
fdisk - 2.37-2
ffmpeg-remux - 4.3.3-1
firewall - 2019-01-02-70f8785b-7
flock - 2.37-2
fstools - 2021-08-14-2e3aca29-7
fuse-utils - 2.9.7-1
fwtool - 1
ip-full - 5.11.0-5
ip6tables - 1.4.21-10
ip6tables-extra - 1.4.21-10
ip6tables-mod-nat - 1.4.21-10
ipip - 1-2
ipset - 7.3-1
ipt2socks - 1.1.3-3
iptables - 1.4.21-10
iptables-mod-account - 2.11-1
iptables-mod-chaos - 2.11-1
iptables-mod-condition - 2.11-1
iptables-mod-conntrack-extra - 1.4.21-10
iptables-mod-dhcpmac - 2.11-1
iptables-mod-extra - 1.4.21-10
iptables-mod-filter - 1.4.21-10
iptables-mod-fullconenat - 2019-10-21-0cf3b48f-1
iptables-mod-hashlimit - 1.4.21-10
iptables-mod-iface - 2.11-1
iptables-mod-ipmark - 2.11-1
iptables-mod-ipopt - 1.4.21-10
iptables-mod-ipp2p - 2.11-1
iptables-mod-iprange - 1.4.21-10
iptables-mod-ipsec - 1.4.21-10
iptables-mod-ipv4options - 2.11-1
iptables-mod-nat-extra - 1.4.21-10
iptables-mod-nflog - 1.4.21-10
iptables-mod-nfqueue - 1.4.21-10
iptables-mod-socket - 1.4.21-10
iptables-mod-tproxy - 1.4.21-10
ipv6helper - 1.0-2
iw - 5.9-1
iwinfo - 2018-12-25-dd508af4
jdcloud_ax1800_pro-firwame - 1
jshn - 2020-05-25-66195aee-1
jsonfilter - 2018-02-04-c7e938d6-1
kernel - 4.4.60-1-ccc363a0df732e3f121b3ee503387c87
kmod-8021q - 4.4.60-1
kmod-ata-ahci - 4.4.60-1
kmod-ata-core - 4.4.60-1
kmod-atm - 4.4.60-1
kmod-block2mtd - 4.4.60-1
kmod-bonding - 4.4.60-1
kmod-br-netfilter - 4.4.60-1
kmod-bridge - 4.4.60-1
kmod-button-hotplug - 4.4.60-3
kmod-cfg80211-linux - 4.4.60-1
kmod-crypto-aead - 4.4.60-1
kmod-crypto-aes - 4.4.60-1
kmod-crypto-aes-internal - 4.4.60+1-1
kmod-crypto-arc4 - 4.4.60-1
kmod-crypto-authenc - 4.4.60-1
kmod-crypto-cbc - 4.4.60-1
kmod-crypto-core - 4.4.60-1
kmod-crypto-crc32c - 4.4.60-1
kmod-crypto-ctr - 4.4.60-1
kmod-crypto-deflate - 4.4.60-1
kmod-crypto-des - 4.4.60-1
kmod-crypto-ecb - 4.4.60-1
kmod-crypto-echainiv - 4.4.60-1
kmod-crypto-gcm - 4.4.60-1
kmod-crypto-gf128 - 4.4.60-1
kmod-crypto-ghash - 4.4.60-1
kmod-crypto-hash - 4.4.60-1
kmod-crypto-hmac - 4.4.60-1
kmod-crypto-hw-padlock - 4.4.60-1
kmod-crypto-iv - 4.4.60-1
kmod-crypto-manager - 4.4.60-1
kmod-crypto-md4 - 4.4.60-1
kmod-crypto-md5 - 4.4.60-1
kmod-crypto-null - 4.4.60-1
kmod-crypto-pcompress - 4.4.60-1
kmod-crypto-rng - 4.4.60-1
kmod-crypto-seqiv - 4.4.60-1
kmod-crypto-sha1 - 4.4.60-1
kmod-crypto-sha256 - 4.4.60-1
kmod-crypto-user - 4.4.60-1
kmod-crypto-wq - 4.4.60-1
kmod-cryptodev - 4.4.60+1.12-ipq60xx-1
kmod-dm - 4.4.60-1
kmod-dnsresolver - 4.4.60-1
kmod-dummy - 4.4.60-1
kmod-fs-autofs4 - 4.4.60-1
kmod-fs-btrfs - 4.4.60-1
kmod-fs-cifs - 4.4.60-1
kmod-fs-exfat - 4.4.60+5.19.1-2
kmod-fs-ext4 - 4.4.60-1
kmod-fs-f2fs - 4.4.60-1
kmod-fs-fscache - 4.4.60-1
kmod-fs-nfs - 4.4.60-1
kmod-fs-nfs-common - 4.4.60-1
kmod-fs-nfs-v3 - 4.4.60-1
kmod-fs-nfs-v4 - 4.4.60-1
kmod-fs-ntfs3 - 4.4.60+2021-07-05-46d199e7-5
kmod-fs-squashfs - 4.4.60-1
kmod-fs-vfat - 4.4.60-1
kmod-fuse - 4.4.60-1
kmod-gpio-button-hotplug - 4.4.60-2
kmod-gpio-dev - 4.4.60-1
kmod-gre - 4.4.60-1
kmod-gre6 - 4.4.60-1
kmod-hid - 4.4.60-1
kmod-hid-generic - 4.4.60-1
kmod-hwmon-core - 4.4.60-1
kmod-hwmon-pwmfan - 4.4.60-1
kmod-i2c-core - 4.4.60-1
kmod-ifb - 4.4.60-1
kmod-ikconfig - 4.4.60-1
kmod-inet-diag - 4.4.60-1
kmod-input-core - 4.4.60-1
kmod-input-evdev - 4.4.60-1
kmod-ip-vti - 4.4.60-1
kmod-ip6-tunnel - 4.4.60-1
kmod-ip6-vti - 4.4.60-1
kmod-ip6tables - 4.4.60-1
kmod-ip6tables-extra - 4.4.60-1
kmod-ipip - 4.4.60-1
kmod-ipoa - 4.4.60-1
kmod-ipsec - 4.4.60-1
kmod-ipsec4 - 4.4.60-1
kmod-ipsec6 - 4.4.60-1
kmod-ipt-account - 4.4.60+2.11-1
kmod-ipt-chaos - 4.4.60+2.11-1
kmod-ipt-compat-xtables - 4.4.60+2.11-1
kmod-ipt-condition - 4.4.60+2.11-1
kmod-ipt-conntrack - 4.4.60-1
kmod-ipt-conntrack-extra - 4.4.60-1
kmod-ipt-core - 4.4.60-1
kmod-ipt-delude - 4.4.60+2.11-1
kmod-ipt-dhcpmac - 4.4.60+2.11-1
kmod-ipt-extra - 4.4.60-1
kmod-ipt-filter - 4.4.60-1
kmod-ipt-fullconenat - 4.4.60+2019-10-21-0cf3b48f-1
kmod-ipt-hashlimit - 4.4.60-1
kmod-ipt-iface - 4.4.60+2.11-1
kmod-ipt-ipmark - 4.4.60+2.11-1
kmod-ipt-ipopt - 4.4.60-1
kmod-ipt-ipp2p - 4.4.60+2.11-1
kmod-ipt-iprange - 4.4.60-1
kmod-ipt-ipsec - 4.4.60-1
kmod-ipt-ipset - 4.4.60-1
kmod-ipt-ipv4options - 4.4.60+2.11-1
kmod-ipt-nat - 4.4.60-1
kmod-ipt-nat-extra - 4.4.60-1
kmod-ipt-nat6 - 4.4.60-1
kmod-ipt-nflog - 4.4.60-1
kmod-ipt-nfqueue - 4.4.60-1
kmod-ipt-physdev - 4.4.60-1
kmod-ipt-raw - 4.4.60-1
kmod-ipt-raw6 - 4.4.60-1
kmod-ipt-socket - 4.4.60-1
kmod-ipt-tarpit - 4.4.60+2.11-1
kmod-ipt-tproxy - 4.4.60-1
kmod-ipt-u32 - 4.4.60-1
kmod-ipt-ulog - 4.4.60-1
kmod-iptunnel - 4.4.60-1
kmod-iptunnel4 - 4.4.60-1
kmod-iptunnel6 - 4.4.60-1
kmod-ipv6 - 4.4.60-1
kmod-l2tp - 4.4.60-1
kmod-l2tp-eth - 4.4.60-1
kmod-l2tp-ip - 4.4.60-1
kmod-leds-gpio - 4.4.60-1
kmod-ledtrig-gpio - 4.4.60-1
kmod-ledtrig-netdev - 4.4.60-1
kmod-lib-crc-ccitt - 4.4.60-1
kmod-lib-crc-itu-t - 4.4.60-1
kmod-lib-crc16 - 4.4.60-1
kmod-lib-crc32c - 4.4.60-1
